-46,6,996
-57,7,998
-78,14,1007
-65,13,998
-74,8,995
-65,3,1002
-54,8,1008
-41,-2,1011
-50,-2,1002
-38,-6,1009
-39,2,1023
-33,1,1024
-29,0,1027
-40,1,1001
-56,7,1004
-62,4,1003
-79,1,995
-88,-5,990
-96,-2,992
-92,-1,1014
-73,-15,991
-81,-8,1003
-77,-20,987
-66,-20,1025
-63,-22,1008
-62,-22,1010
-76,-19,1010
-68,-22,1005
-65,-20,1001
-50,-31,990
-63,-22,1005
-74,-18,997
-51,-27,995
-55,-23,996
-71,-26,998
-74,-26,995
-83,-18,1003
-78,-20,1003
-73,-16,1011
-59,-17,1011
-48,-21,1005
-55,-19,1002
-56,-16,1013
-61,-16,1007
-58,-22,996
-61,-22,991
-61,-16,1015
-63,-19,987
-73,-21,1031
-76,-20,1013
-66,-19,1025
-58,-24,1027
-45,-26,1020
-53,-25,1001
-66,-19,1011
-63,-26,987
-65,-17,1002
-53,-24,995
-58,-22,997
-68,-20,995
-74,-15,1014
-68,-15,1006
-56,-24,1005
-64,-23,1010
-61,-29,1000
-63,-29,997
-71,-23,1009
-60,-25,1006
-58,-20,1019
-56,-27,996
-58,-21,1015
-68,-21,1006
-72,-20,1009
-81,-18,1004
-71,-20,1007
-68,-20,1006
-72,-19,1006
-54,-23,1005
-65,-16,1011
-78,-17,990
-73,-20,1001
-83,-24,985
-96,-8,1013
-61,-26,1025
-54,-23,1017
-57,-24,1010
-73,-19,1023
-75,-25,996
-70,-21,996
-66,-26,999
-80,-18,1004
-64,-26,999
-68,-25,997
-84,-17,1012
-61,-26,1004
-63,-26,1000
-62,-23,1005
-69,-18,1010
-66,-21,1012
-72,-23,999
-75,-19,1010
-72,-24,1001
-67,-24,1000
-73,-16,1019
-66,-22,1001
-70,-17,1008
-58,-25,1001
-73,-13,1022
-67,-21,994
-84,-19,1011
-54,-17,1044
-79,-23,1002
-63,-20,1019
-66,-28,999
-79,-23,1009
-61,-29,1015
-68,-23,1014
-79,-23,1003
-81,-18,1008
-71,-25,996
-60,-25,993
-61,-26,996
-71,-21,1011
-85,-14,1012
-75,-20,1006
-62,-23,1007
-51,-29,1007
-65,-27,1003
-64,-30,1003
-70,-28,1002
-71,-30,1003
-66,-31,1002
-66,-31,1006
-69,-29,1011
-62,-28,1015
-69,-27,1007
-59,-29,997
-68,-26,1005
-68,-24,1015
-73,-24,1006
-70,-21,1005
-58,-28,1004
-75,-26,996
-63,-24,1003
-62,-25,983
-63,-20,998
-55,-31,1003
-69,-27,1018
-70,-28,1017
-65,-28,1016
-52,-37,996
-61,-30,1002
-64,-31,991
-77,-20,979
-45,-31,975
-49,-26,978
-62,-11,1014
-51,-15,1027
-59,-14,1026
-65,-18,1010
-66,-17,1016
-55,-21,989
-52,-11,1016
-53,-9,1013
-57,-1,1021
-55,-3,1005
-38,-10,996
-55,-4,992
-68,-1,951
-62,0,943
-39,-11,908
-9,-44,848
-2,-38,900
-9,20,1061
-20,-38,1221
43,-85,1394
-35,256,1998
-306,324,1998
-52,312,1846
201,288,1476
518,235,749
345,73,-104
196,13,-232
-139,-25,-254
-111,-7,197
-101,19,449
-56,21,691
-30,-9,699
22,28,1020
12,45,1046
5,40,1068
4,48,1088
40,37,1076
79,-10,1010
26,-2,1005
0,-5,951
0,-1,989
-2,18,995
0,50,1040
14,53,1042
16,46,1056
-27,40,974
0,40,1011
-2,43,999
49,33,997
28,42,1007
-3,40,986
12,39,1011
5,43,988
-2,55,1015
-13,58,993
-15,59,1016
-22,63,1007
-20,60,1015
-9,48,993
0,51,1014
8,38,989
-6,44,1015
7,33,987
5,36,989
20,17,954
7,44,1023
-29,57,1009
-32,57,1029
-11,47,1015
16,41,1004
30,36,997
32,39,1008
-11,53,999
-13,60,999
-22,80,1052
2,62,1008
17,54,1002
3,65,1022
-2,54,989
-3,55,1002
-7,58,995
-1,55,1002
5,54,1000
5,59,1011
-4,53,983
-8,58,1004
-9,59,990
2,61,1008
-5,55,992
5,57,1003
-6,62,1018
0,61,1023
11,57,1025
7,57,1018
0,61,1022
1,54,996
2,60,1022
0,46,972
-2,54,1002
-25,60,999
-9,57,1009
-7,61,1027
7,57,1016
9,57,1030
-5,48,990
-11,46,991
-15,50,997
-13,52,1009
-15,58,1011
-9,56,1000
0,48,997
-14,57,1008
-3,44,988
-14,49,1004
-14,48,992
-21,58,1018
-25,54,1007
-22,54,1013
-9,45,974
-17,56,1004
-11,47,979
-16,57,1025
-27,56,1016
-23,53,1015
3,45,1016
-16,55,1017
-2,51,1020
-10,47,997
-23,55,1015
-16,44,995
-18,47,1003
-13,48,1008
-10,43,1006
-13,47,1002
-10,39,992
2,39,1012
0,37,1005
-23,56,1027
-25,55,1023
-13,51,1019
-10,52,1023
-15,42,994
-18,43,1003
-22,46,1029
-32,45,1021
-19,38,1016
-29,46,1010
-7,30,992
-14,44,1009
-27,43,994
-24,39,1001
-46,39,1003
-26,34,1020
-13,30,1009
-8,36,1025
-19,36,1013
-9,30,1012
-20,33,1013
-26,31,1004
-20,30,1047
-19,26,993
-30,23,1003
-30,28,1024
-23,31,1014
-20,10,978
-33,3,963
-39,1,948
-12,5,965
-30,8,892
-27,19,858
-15,27,791
151,-19,660
84,-50,374
-9,-37,65
-20,-165,-344
-95,-126,145
-276,-210,82
-9,155,1895
-27,375,1998
-201,176,1997
-236,96,1660
-64,-17,1003
-61,4,938
-72,18,924
-76,63,983
-27,20,909
-29,21,990
-58,10,962
-7,-34,909
-16,-18,977
-36,-13,973
-43,1,1036
-19,14,1034
-33,9,1042
-14,-20,999
0,-35,969
-14,-14,1040
-7,-20,1030
-18,-2,1030
-12,-21,965
-10,-12,978
-35,6,997
0,-13,1002
-23,-2,1001
-31,-11,988
-31,3,1026
0,4,1048
4,-4,1032
-30,11,1003
-25,5,969
-34,11,977
-11,-4,986
-32,19,1020
-41,21,1023
-37,8,978
-12,9,1006
-3,10,1023
2,3,1008
-2,6,993
-13,23,1055
-20,18,1021
0,3,1008
-7,6,1015
-1,9,1023
-7,3,997
-23,-2,994
-24,11,1030
-23,38,1045
-3,29,1035
9,3,954
28,0,962
1,10,981
-15,13,1006
-13,7,1012
22,-10,1007
-1,-7,998
-11,5,1026
-17,0,1023
-13,5,1013
-3,3,1017
-5,-1,1036
10,-12,1012
8,-4,1010
-3,-2,985
-1,-7,1008
-3,-17,997
-2,-14,988
9,-16,1011
11,-13,1009
7,-11,1018
5,-16,1024
14,-15,1011
-8,-14,1005
-10,-27,979
-24,-1,1015
-7,-15,1012
-15,-7,1013
6,-18,1001
4,-18,1010
8,-35,974
0,-28,994
-22,-14,1017
-14,-15,1016
-9,-14,1021
9,-33,976
6,-23,1009
-8,-23,999
22,-41,974
6,-21,1021
-9,-16,1026
-8,-15,1029
11,-25,1003
-12,-16,1001
-14,-24,985
-15,-18,1015
3,-29,1009
6,-26,1025
-7,-19,1024
-3,-25,1017
21,-39,991
-4,-30,1006
-6,-22,1005
-8,-22,1016
-5,-25,1021
-11,-22,1011
-15,-27,995
7,-34,1003
10,-38,997
-14,-32,1008
-5,-34,997
-2,-29,1017
-10,-29,1009
3,-33,996
-4,-25,1011
-11,-24,1000
-11,-26,996
-22,-21,1027
-15,-29,989
-12,-37,989
0,-35,986
0,-35,996
-9,-27,1019
-10,-40,997
-16,-33,1012
-9,-45,1004
-13,-33,1028
-12,-34,1014
-7,-34,1021
3,-40,1022
-6,-40,992
6,-46,989
-2,-36,1002
-15,-31,997
-10,-32,1020
-5,-33,1027
-16,-37,1012
-5,-47,1002
-12,-45,996
-35,-38,998
-7,-46,986
-17,-44,986
-15,-41,1004
-28,-35,1041
-27,-38,1029
-6,-41,1067
24,-58,1064
7,-54,1050
-5,-48,1063
0,-55,1033
-12,-56,968
-25,-64,920
-25,-79,741
62,-71,508
112,-70,265
128,33,-6
-85,12,-759
-195,91,-79
-83,185,1010
-12,400,1998
147,197,1998
163,75,1932
80,93,1196
-11,-4,827
-15,-54,1345
-21,45,1595
0,-71,709
61,41,968
101,71,1220
104,25,862
64,38,1041
49,59,1116
37,30,942
54,43,1039
54,43,985
66,36,1004
86,29,985
75,62,1018
89,53,1006
93,20,956
64,57,1035
69,48,1023
58,64,1026
69,59,1016
91,31,966
64,54,1005
45,58,983
80,53,1005
91,51,1005
87,44,999
59,54,1009
49,62,1015
50,55,985
81,35,967
79,42,1025
82,41,1002
70,41,966
59,58,1022
53,59,1032
67,45,987
63,51,986
70,54,1006
61,55,1009
59,47,982
73,48,993
99,29,982
77,44,976
33,76,1041
42,66,999
48,72,1029
66,56,984
83,37,980
35,68,1011
58,60,1010
40,65,998
68,63,1011
60,64,1000
70,50,998
62,67,1023
58,56,976
53,55,1002
56,61,990
53,63,995
43,51,975
42,64,1005
52,57,996
48,68,1011
54,53,971
53,50,982
47,72,1031
36,61,973
50,65,1021
37,72,1008
52,56,977
46,73,1037
41,66,992
47,69,1009
63,57,1002
45,73,1001
62,56,965
63,70,1018
42,68,983
44,81,1043
61,62,994
60,67,994
52,75,1015
41,77,1006
46,62,1001
58,61,1009
71,63,999
49,71,1005
45,66,1001
44,64,991
51,61,1019
64,64,1004
56,71,1015
49,59,995
61,70,1017
66,58,981
54,63,1015
51,61,1002
50,60,986
42,64,985
48,67,1000
51,65,1004
58,58,982
58,65,1013
33,73,997
49,64,985
46,68,997
63,67,1011
46,69,1011
47,64,994
52,68,1017
62,62,990
61,67,1011
57,65,1011
58,65,1010
53,68,1004
55,60,1007
55,64,1010
39,71,1009
55,63,984
61,66,1019
62,57,998
54,61,1014
50,66,999
61,69,1016
57,58,983
56,65,1004
57,59,981
61,64,1022
60,64,996
56,64,1003
57,67,1007
54,71,1010
50,68,999
56,67,1004
58,65,987
60,67,1003
54,71,993
52,68,989
59,72,1002
60,66,978
64,77,1022
66,69,968
56,94,1029
42,93,986
45,96,1009
56,85,990
91,73,992
78,85,936
62,102,903
61,136,1820
544,74,1998
436,145,1998
247,389,1998
328,355,641
-258,329,-1137
-245,155,-1681
0,-23,-653
79,-1,842
126,-13,1263
33,-100,1158
-37,-117,1063
-42,-124,1027
-48,-103,1044
0,-92,1079
25,-112,1033
-1,-112,1011
38,-145,914
22,-138,897
4,-131,938
-1,-124,975
-6,-140,911
13,-126,968
31,-114,1011
-34,-76,1053
-45,-79,983
-45,-70,1006
-35,-64,1071
-12,-93,983
3,-86,1020
-12,-78,1013
-4,-91,990
6,-98,966
-10,-81,1008
7,-87,1007
2,-92,1001
-11,-88,994
0,-78,1029
-21,-83,1008
-11,-79,1020
9,-89,1026
10,-84,1023
18,-74,1043
18,-117,957
-18,-70,1017
24,-85,975
24,-75,1015
-7,-79,1003
-27,-77,979
-33,-70,988
-7,-79,1000
32,-72,1032
25,-80,1005
13,-81,992
6,-78,1014
-22,-77,996
-2,-89,982
-6,-87,1017
-3,-72,1063
-16,-69,1036
-22,-73,1001
6,-91,973
0,-97,955
22,-98,985
-7,-84,998
2,-84,1008
-19,-80,997
-15,-86,981
-8,-81,1013
-2,-77,1029
-19,-82,966
-22,-62,1046
-13,-70,1012
-5,-66,1028
0,-82,985
-6,-79,1006
-10,-83,983
6,-74,1015
-4,-81,977
-1,-81,980
-32,-65,1016
-3,-88,995
-17,-74,1027
-15,-77,998
-7,-79,1022
10,-87,1005
-5,-80,1009
-17,-81,998
3,-91,1002
-4,-85,999
-7,-94,986
-24,-75,1025
-25,-87,977
-12,-74,1032
0,-84,1005
-12,-84,1000
-13,-81,1006
-7,-76,1011
-10,-81,1004
-8,-82,1000
-23,-70,1017
-1,-79,1004
3,-87,1027
-15,-85,999
-35,-65,1016
-28,-74,987
-30,-75,999
-23,-91,972
-32,-72,1016
-26,-77,1026
-21,-80,1016
-10,-81,1018
5,-94,983
-30,-84,992
-39,-83,1009
-30,-86,1011
-38,-80,1020
-41,-92,990
-43,-76,1015
-24,-84,1012
-41,-84,994
